num_samples,reasoner_type,train_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts,adv_ns1_suppd_wts,adv_ns2_suppd_wts,adv_ns3_suppd_wts,adv_ns1_other_wts,adv_ns2_other_wts,adv_ns3_other_wts
16384,theory,601,48,96,12,1.0,1.0,1.0,1.0,0.19999921321868896,0.6315802931785583,0.6000030636787415,0.0,0.05263158306479454,0.049999985843896866,0.0,0.05263158306479454,0.049999985843896866
16384,theory,601,48,96,13,1.0,1.0,1.0,1.0,0.19999921321868896,0.6499965190887451,0.6190490126609802,0.0,0.049999985843896866,0.04761906713247299,0.0,0.049999985843896866,0.04761906713247299
16384,theory,601,48,96,14,1.0,1.0,1.0,1.0,0.19999921321868896,0.6666658520698547,0.6363621354103088,0.0,0.04761906713247299,0.045454539358615875,0.0,0.04761906713247299,0.045454539358615875
16384,theory,601,48,96,15,1.0,1.0,1.0,1.0,0.19999921321868896,0.6818216443061829,0.6521719098091125,0.0,0.045454539358615875,0.04347825422883034,0.0,0.045454539358615875,0.04347825422883034
16384,theory,601,48,96,16,1.0,1.0,1.0,1.0,0.19999921321868896,0.6956501603126526,0.6666658520698547,0.0,0.04347825422883034,0.0416666604578495,0.0,0.04347825422883034,0.0416666604578495
16384,theory,601,48,96,17,1.0,1.0,1.0,1.0,0.19999921321868896,0.7083346247673035,0.6799952387809753,0.0,0.0416666604578495,0.03999999538064003,0.0,0.0416666604578495,0.03999999538064003
16384,theory,601,32,64,2,1.0,1.0,1.0,1.0,0.19999921321868896,0.2222214788198471,0.19999921321868896,0.0,0.11111115664243698,0.09999997168779373,0.0,0.11111115664243698,0.09999997168779373
16384,theory,601,32,64,3,1.0,1.0,1.0,1.0,0.19999921321868896,0.3000015318393707,0.2727271318435669,0.0,0.09999997168779373,0.09090907871723175,0.0,0.09999997168779373,0.09090907871723175
16384,theory,601,32,64,4,1.0,1.0,1.0,1.0,0.19999921321868896,0.3636360466480255,0.33333292603492737,0.0,0.09090907871723175,0.083333320915699,0.0,0.09090907871723175,0.083333320915699
16384,theory,601,32,64,5,1.0,1.0,1.0,1.0,0.19999921321868896,0.41666799783706665,0.3846139907836914,0.0,0.083333320915699,0.07692310959100723,0.0,0.083333320915699,0.07692310959100723
16384,theory,601,32,64,6,1.0,1.0,1.0,1.0,0.19999921321868896,0.4615364372730255,0.4285726845264435,0.0,0.07692310959100723,0.0714285597205162,0.0,0.07692310959100723,0.0714285597205162
16384,theory,601,32,64,7,1.0,1.0,1.0,1.0,0.19999921321868896,0.5,0.4666634202003479,0.0,0.0714285597205162,0.06666668504476547,0.0,0.0714285597205162,0.06666668504476547
16384,theory,601,32,64,8,1.0,1.0,1.0,1.0,0.19999921321868896,0.53333580493927,0.5,0.0,0.06666668504476547,0.0625,0.0,0.06666668504476547,0.0625
16384,theory,601,32,64,9,1.0,1.0,1.0,1.0,0.19999921321868896,0.5625,0.5294151902198792,0.0,0.0625,0.05882355570793152,0.0,0.0625,0.05882355570793152
16384,theory,601,32,64,10,1.0,1.0,1.0,1.0,0.19999921321868896,0.5882360339164734,0.5555554032325745,0.0,0.05882355570793152,0.05555557832121849,0.0,0.05882355570793152,0.05555557832121849
16384,theory,601,32,64,11,1.0,1.0,1.0,1.0,0.19999921321868896,0.6111137866973877,0.5789489150047302,0.0,0.05555557832121849,0.05263158306479454,0.0,0.05555557832121849,0.05263158306479454
16384,theory,601,32,64,12,1.0,1.0,1.0,1.0,0.19999921321868896,0.6315802931785583,0.6000030636787415,0.0,0.05263158306479454,0.049999985843896866,0.0,0.05263158306479454,0.049999985843896866
16384,theory,601,32,64,13,1.0,1.0,1.0,1.0,0.19999921321868896,0.6499965190887451,0.6190490126609802,0.0,0.049999985843896866,0.04761906713247299,0.0,0.049999985843896866,0.04761906713247299
16384,theory,601,32,64,14,1.0,1.0,1.0,1.0,0.19999921321868896,0.6666658520698547,0.6363621354103088,0.0,0.04761906713247299,0.045454539358615875,0.0,0.04761906713247299,0.045454539358615875
16384,theory,601,32,64,15,1.0,1.0,1.0,1.0,0.19999921321868896,0.6818216443061829,0.6521719098091125,0.0,0.045454539358615875,0.04347825422883034,0.0,0.045454539358615875,0.04347825422883034
16384,theory,601,32,64,16,1.0,1.0,1.0,1.0,0.19999921321868896,0.6956501603126526,0.6666658520698547,0.0,0.04347825422883034,0.0416666604578495,0.0,0.04347825422883034,0.0416666604578495
16384,theory,601,32,64,17,1.0,1.0,1.0,1.0,0.19999921321868896,0.7083346247673035,0.6799952387809753,0.0,0.0416666604578495,0.03999999538064003,0.0,0.0416666604578495,0.03999999538064003
16384,theory,601,16,32,2,1.0,1.0,1.0,1.0,0.19999921321868896,0.2222214788198471,0.19999921321868896,0.0,0.11111115664243698,0.09999997168779373,0.0,0.11111115664243698,0.09999997168779373
16384,theory,601,16,32,3,1.0,1.0,1.0,1.0,0.19999921321868896,0.3000015318393707,0.2727271318435669,0.0,0.09999997168779373,0.09090907871723175,0.0,0.09999997168779373,0.09090907871723175
16384,theory,601,16,32,4,1.0,1.0,1.0,1.0,0.19999921321868896,0.3636360466480255,0.33333292603492737,0.0,0.09090907871723175,0.083333320915699,0.0,0.09090907871723175,0.083333320915699
16384,theory,601,16,32,5,1.0,1.0,1.0,1.0,0.19999921321868896,0.41666799783706665,0.3846139907836914,0.0,0.083333320915699,0.07692310959100723,0.0,0.083333320915699,0.07692310959100723
16384,theory,601,16,32,6,1.0,1.0,1.0,1.0,0.19999921321868896,0.4615364372730255,0.4285726845264435,0.0,0.07692310959100723,0.0714285597205162,0.0,0.07692310959100723,0.0714285597205162
16384,theory,601,16,32,7,1.0,1.0,1.0,1.0,0.19999921321868896,0.5,0.4666634202003479,0.0,0.0714285597205162,0.06666668504476547,0.0,0.0714285597205162,0.06666668504476547
16384,theory,601,16,32,8,1.0,1.0,1.0,1.0,0.19999921321868896,0.53333580493927,0.5,0.0,0.06666668504476547,0.0625,0.0,0.06666668504476547,0.0625
16384,theory,601,16,32,9,1.0,1.0,1.0,1.0,0.19999921321868896,0.5625,0.5294151902198792,0.0,0.0625,0.05882355570793152,0.0,0.0625,0.05882355570793152
16384,theory,601,16,32,10,1.0,1.0,1.0,1.0,0.19999921321868896,0.5882360339164734,0.5555554032325745,0.0,0.05882355570793152,0.05555557832121849,0.0,0.05882355570793152,0.05555557832121849
16384,theory,601,16,32,11,1.0,1.0,1.0,1.0,0.19999921321868896,0.6111137866973877,0.5789489150047302,0.0,0.05555557832121849,0.05263158306479454,0.0,0.05555557832121849,0.05263158306479454
16384,theory,601,16,32,12,1.0,1.0,1.0,1.0,0.19999921321868896,0.6315802931785583,0.6000030636787415,0.0,0.05263158306479454,0.049999985843896866,0.0,0.05263158306479454,0.049999985843896866
16384,theory,601,16,32,13,1.0,1.0,1.0,1.0,0.19999921321868896,0.6499965190887451,0.6190490126609802,0.0,0.049999985843896866,0.04761906713247299,0.0,0.049999985843896866,0.04761906713247299
16384,theory,601,16,32,14,1.0,1.0,1.0,1.0,0.19999921321868896,0.6666658520698547,0.6363621354103088,0.0,0.04761906713247299,0.045454539358615875,0.0,0.04761906713247299,0.045454539358615875
